aX;aY;aZ
-0.07;0.00;0.96
0.03;-0.02;1.05
-0.03;-0.01;0.99
0.01;-0.01;1.03
0.02;-0.02;1.04
-0.05;-0.00;0.98
0.02;-0.02;1.04
-0.06;0.00;0.97
-0.03;-0.01;0.99
-0.02;-0.01;1.01
-0.06;0.00;0.96
0.02;-0.02;1.05
-0.04;-0.00;0.97
0.01;-0.02;1.03
-0.06;-0.00;0.97
-0.04;-0.01;0.98
-0.01;-0.01;1.02
-0.06;0.00;0.96
0.03;-0.02;1.05
-0.03;-0.01;1.00
-0.00;-0.01;1.02
0.02;-0.02;1.04
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.04;-0.01;0.99
0.01;-0.02;1.03
0.01;-0.02;0.98
-0.05;-0.00;0.98
-0.00;-0.01;1.02
-0.06;0.00;0.97
0.03;-0.02;1.05
-0.02;-0.01;1.01
-0.01;-0.01;1.02
0.02;-0.02;1.05
-0.06;-0.00;0.97
0.01;-0.01;1.03
-0.05;0.00;0.97
-0.04;-0.00;0.98
-0.01;-0.01;1.02
-0.06;-0.00;0.96
0.03;-0.02;1.05
-0.06;-0.00;0.97
0.00;-0.01;1.02
-0.05;-0.00;0.98
-0.05;-0.00;0.97
0.01;-0.01;1.03
-0.06;0.00;0.97
0.02;-0.02;1.05
-0.02;-0.01;1.01
-0.01;-0.01;1.01
0.02;-0.02;1.05
-0.06;0.00;0.97
0.01;-0.01;1.03
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.07;0.00;0.96
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.06;0.00;0.96
0.02;-0.02;1.05
-0.04;-0.00;0.98
0.01;-0.01;1.04
0.01;-0.01;1.03
-0.04;-0.00;0.99
0.02;-0.02;1.05
-0.06;-0.00;0.96
0.02;-0.02;1.05
-0.03;-0.01;1.00
0.00;-0.01;1.03
0.02;-0.02;1.04
-0.05;-0.00;0.98
0.02;-0.02;1.04
-0.06;0.00;0.97
-0.03;-0.01;0.99
-0.02;-0.01;1.01
-0.06;0.00;0.96
0.02;-0.02;1.05
-0.04;-0.00;0.99
0.01;-0.02;1.03
-0.05;-0.00;0.97
-0.04;-0.00;0.98
-0.00;-0.01;1.02
-0.06;0.00;0.96
0.03;-0.02;1.05
-0.03;-0.01;1.00
-0.01;-0.01;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.01
-0.06;0.00;0.97
0.01;-0.01;1.03
-0.06;-0.00;0.97
0.03;-0.02;1.05
-0.01;-0.01;1.01
-0.01;-0.01;1.01
0.02;-0.02;0.99
-0.06;0.00;0.97
0.02;-0.02;1.04
-0.05;-0.00;0.98
0.02;-0.02;1.04
-0.00;-0.01;1.02
-0.03;-0.01;1.00
0.03;-0.02;1.05
-0.06;0.00;0.96
-0.00;-0.01;1.02
-0.04;-0.00;0.99
-0.05;-0.00;0.97
0.01;-0.02;1.04
-0.06;0.00;0.98
0.02;-0.02;1.05
-0.06;0.00;0.96
-0.02;-0.01;1.00
-0.03;-0.01;1.00
-0.06;0.00;0.97
0.02;-0.02;1.04
-0.05;-0.00;0.98
0.02;-0.02;1.04
0.00;-0.02;1.03
-0.02;-0.01;1.01
-0.01;-0.01;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.01
0.02;-0.02;1.04
-0.01;-0.01;1.02
-0.02;-0.01;1.00
-0.03;-0.01;1.00
-0.06;-0.00;0.96
0.02;-0.02;1.04
-0.05;-0.00;0.98
0.02;-0.02;1.04
0.01;-0.01;1.03
-0.03;-0.00;0.99
0.02;-0.02;1.05
-0.06;0.00;0.96
-0.01;-0.01;1.01
-0.03;-0.01;0.99
-0.06;-0.00;0.97
0.01;-0.02;1.04
-0.05;-0.00;0.98
0.02;-0.02;1.04
-0.06;0.00;0.97
-0.03;-0.01;1.00
-0.02;-0.01;1.00
-0.06;0.00;0.96
0.02;-0.02;1.05
-0.04;-0.00;0.99
0.01;-0.02;1.03
0.01;-0.02;1.03
-0.04;-0.01;0.99
0.02;-0.02;1.05
-0.06;-0.00;0.97
-0.02;-0.01;1.01
-0.02;-0.01;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.01
-0.02;-0.01;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.03;-0.01;0.99
-0.02;-0.01;1.00
-0.06;0.00;0.96
0.02;-0.02;1.04
-0.04;-0.00;0.99
0.01;-0.02;1.04
0.01;-0.02;1.03
-0.04;-0.01;0.99
0.02;-0.02;1.05
-0.06;0.00;0.96
-0.01;-0.01;1.01
-0.03;-0.01;1.00
-0.06;0.00;1.03
0.01;-0.02;1.04
-0.05;-0.00;0.98
0.02;-0.02;1.04
-0.06;0.00;0.97
-0.03;-0.01;0.99
-0.02;-0.01;1.01
-0.06;0.00;0.96
0.02;-0.02;1.05
-0.04;-0.01;0.99
0.01;-0.02;1.03
0.01;-0.02;1.04
-0.04;-0.00;0.98
0.02;-0.02;1.04
-0.06;0.00;0.97
0.02;-0.02;1.05
-0.02;-0.01;1.00
-0.01;-0.01;1.01
-0.01;-0.01;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.01
0.02;-0.02;1.04
-0.01;-0.01;1.02
-0.02;-0.01;1.00
0.02;-0.02;1.05
-0.06;0.00;0.96
-0.00;-0.01;1.02
-0.05;-0.00;0.98
-0.05;-0.00;0.97
0.00;-0.01;1.03
-0.06;-0.01;0.99
0.02;-0.02;1.05
-0.06;0.00;0.96
-0.01;-0.01;1.01
-0.03;-0.01;0.99
-0.06;0.00;0.97
0.01;-0.02;1.04
-0.05;-0.00;0.98
0.02;-0.02;1.04
-0.00;-0.01;1.02
-0.03;-0.01;1.00
0.02;-0.02;1.05
-0.06;0.00;0.96
-0.01;-0.01;1.05
-0.04;-0.01;0.99
0.01;-0.02;1.03
0.01;-0.01;1.03
-0.04;-0.00;0.99
0.02;-0.02;1.05
-0.06;-0.00;0.97
-0.02;-0.01;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.01;-0.00;1.00
-0.01;-0.01;1.00
-0.03;-0.02;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.01;-0.01;1.00
0.03;-0.06;0.99
-0.00;-0.02;1.00
0.11;0.06;0.98
-0.03;0.08;1.00
0.01;0.02;1.00
0.07;-0.04;1.00
-0.03;0.03;0.99
-0.04;-0.02;1.00
-0.03;-0.01;1.01
0.04;0.02;1.00
0.06;0.00;1.00
0.01;-0.04;1.01
-0.03;-0.03;1.01
-0.08;0.00;1.00
-0.02;0.01;1.00
-0.02;-0.00;1.00
-0.01;0.07;1.04
0.11;0.10;0.96
0.16;0.09;0.96
-0.32;0.04;1.04
-0.29;-0.01;1.01
-0.12;-0.02;0.99
-0.10;-0.02;1.02
-0.09;-0.01;1.02
-0.07;0.03;1.03
-0.10;0.02;1.01
-0.11;0.05;1.03
-0.12;0.06;1.01
-0.12;0.08;0.99
-0.11;0.03;1.07
-0.15;0.06;1.04
-0.15;0.11;1.04
-0.12;0.14;1.00
-0.12;0.00;0.99
-0.15;-0.04;0.99
-0.15;-0.10;1.00
-0.19;-0.07;1.00
-0.18;-0.11;1.05
-0.23;-0.13;1.08
-0.22;-0.09;1.08
-0.25;-0.02;1.10
-0.18;0.01;1.09
-0.16;-0.01;1.09
-0.16;-0.11;1.13
-0.20;-0.11;1.14
-0.18;-0.15;1.12
-0.14;-0.32;1.06
-0.12;-0.38;1.02
-0.15;-0.52;0.97
-0.16;-0.57;1.00
-0.07;-0.50;0.83
-0.05;-0.50;0.69
0.02;-0.61;0.73
0.03;-0.60;0.69
-0.02;-0.67;0.62
-0.03;-0.71;0.61
-0.04;-0.76;0.61
-0.07;-0.70;0.62
-0.03;-0.73;0.66
-0.01;-0.62;0.63
0.01;-0.54;0.59
-0.00;-0.51;0.66
-0.02;-0.45;0.69
-0.07;-0.35;0.74
-0.09;-0.33;0.83
-0.10;-0.26;0.92
-0.10;-0.26;0.96
-0.13;-0.25;0.97
-0.13;-0.26;0.98
-0.10;-0.27;0.96
-0.06;-0.31;0.93
-0.10;-0.32;0.93
-0.14;-0.27;0.94
-0.14;-0.25;0.94
-0.11;-0.30;0.94
-0.07;-0.33;0.93
-0.08;-0.35;0.91
-0.13;-0.31;0.91
-0.13;-0.23;0.92
-0.14;-0.19;0.94
-0.15;-0.13;0.97
-0.15;-0.13;0.99
-0.18;-0.12;1.01
-0.17;-0.09;1.03
-0.14;-0.07;1.02
0.03;0.19;1.97
-0.22;0.10;1.36
-0.24;-0.06;0.92
-0.16;-0.11;1.08
-0.15;-0.12;1.12
-0.12;-0.07;1.07
-0.07;0.02;1.01
-0.04;-0.04;0.96
-0.06;-0.03;0.96
-0.03;-0.01;1.00
0.02;-0.05;0.99
-0.09;0.08;0.97
-0.01;-0.07;1.02
-0.07;0.01;1.08
0.05;-0.03;0.99
0.05;-0.04;0.95
0.05;-0.06;0.96
0.03;-0.07;0.98
-0.03;-0.02;1.10
0.12;0.06;1.03
0.03;-0.01;1.00
0.01;-0.04;0.99
0.02;-0.05;0.99
0.06;-0.00;1.01
0.04;-0.02;0.99
0.01;-0.02;1.00
0.02;-0.02;1.00
0.00;-0.03;1.01
0.04;-0.01;1.00
0.03;-0.02;1.00
0.05;-0.03;0.98
0.07;-0.02;0.97
-0.13;0.01;1.01
0.03;-0.04;0.95
0.00;-0.02;1.00
0.02;-0.01;1.01
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.00;-0.01;1.00
0.00;-0.01;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
-0.01;-0.04;1.01
0.04;-0.01;0.99
0.01;-0.04;0.99
0.01;0.01;1.02
0.04;-0.03;0.99
-0.03;-0.01;1.02
0.03;-0.03;0.98
-0.01;-0.03;1.00
0.04;-0.00;1.00
0.02;-0.04;0.99
-0.00;0.01;1.02
0.04;-0.02;0.99
-0.03;-0.01;1.02
0.01;0.01;1.02
-0.00;-0.04;1.00
-0.02;-0.00;1.02
0.03;-0.04;0.98
-0.02;-0.03;1.01
0.04;-0.01;1.00
-0.01;-0.02;1.02
0.00;0.01;1.02
0.01;-0.04;0.99
-0.03;-0.01;1.02
0.04;-0.03;0.98
-0.01;-0.03;1.00
0.03;-0.00;1.00
0.03;-0.04;0.98
-0.01;0.01;1.02
0.04;-0.02;0.99
-0.01;0.00;1.01
0.01;-0.03;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.02;-0.04;0.98
-0.03;-0.01;1.02
0.04;-0.03;0.99
-0.03;-0.00;1.03
0.03;0.00;1.01
-0.01;-0.03;1.00
-0.02;0.01;1.03
0.02;-0.04;0.99
-0.03;-0.02;1.01
0.04;-0.02;0.99
0.01;-0.04;0.99
0.02;0.01;1.02
0.04;-0.03;0.98
-0.02;0.00;1.03
0.03;-0.00;1.01
-0.02;-0.03;1.01
0.03;-0.02;1.00
0.02;-0.04;0.99
0.00;0.01;1.02
0.04;-0.03;0.99
-0.02;-0.00;1.02
0.03;0.01;1.01
